"";"bairro";"rendimento_nominal_medio_exclui_sem_rendimento";"rendimento_nominal_mediano_exclui_sem_rendimento";"rendimento_nominal_medio_inclui_sem_rendimento";"rendimento_nominal_mediano_inclui_sem_rendimento";"AP";"populacao";"domicilios"
"1";"CAJU";806,55;534,5;478,35;510;"Area de Planejamento 1";20477;6666
"2";"GAMBOA";872,89;600;543,5;510;"Area de Planejamento 1";13108;4275
"3";"SANTO CRISTO";938,57;650;633,1;510;"Area de Planejamento 1";12330;4096
"4";"SAUDE";1040,59;650;757,6;510;"Area de Planejamento 1";2749;950
"5";"CENTRO";1817,85;1200;1451,21;1000;"Area de Planejamento 1";29555;14196
"6";"CATUMBI";1070,35;700;729,13;510;"Area de Planejamento 1";12556;4087
"7";"CIDADE NOVA";1344,19;800;951,15;529;"Area de Planejamento 1";5466;1968
"8";"ESTACIO";1273,79;780;861,47;510;"Area de Planejamento 1";17189;5960
"9";"RIO COMPRIDO";1547,99;900;1077,5;570;"Area de Planejamento 1";43764;14833
"10";"BENFICA";1132,87;700;673,84;510;"Area de Planejamento 1";23505;8628
"11";"MANGUEIRA";861,47;580;499,49;510;"Area de Planejamento 1";17835;5173
"12";"SAO CRISTOVAO";1613,05;1000;1029,99;510;"Area de Planejamento 1";26510;10471
"13";"VASCO DA GAMA";1197,77;750;817,51;510;"Area de Planejamento 1";15482;5394
"14";"PAQUETA";1707,33;900;1188,13;510;"Area de Planejamento 1";3361;1256
"15";"SANTA TERESA";1697,49;1000;1241,63;600;"Area de Planejamento 1";40926;15629
"16";"BOTAFOGO";4269,21;3000;3260,04;1700;"Area de Planejamento 2";82890;35254
"17";"CATETE";2946,75;1800;2302,09;1100;"Area de Planejamento 2";24057;10446
"18";"COSME VELHO";4172,8;1540;2946,71;750;"Area de Planejamento 2";7178;2377
"19";"FLAMENGO";4662,41;3000;3736,72;2000;"Area de Planejamento 2";50043;23230
"20";"GLORIA";2872,89;2000;2345,11;1500;"Area de Planejamento 2";9661;4564
"21";"HUMAITA";4856,16;3500;3796,7;2500;"Area de Planejamento 2";13285;5812
"22";"LARANJEIRAS";4574,06;3000;3517,35;2000;"Area de Planejamento 2";45554;18867
"23";"URCA";5191,48;3500;3547,71;1500;"Area de Planejamento 2";7061;2851
"24";"COPACABANA";4170,08;2500;3221,83;1700;"Area de Planejamento 2";146392;66250
"25";"LEME";4388,39;2500;3301,94;1220;"Area de Planejamento 2";14799;6234
"26";"GAVEA";5314,21;3000;3888,44;1700;"Area de Planejamento 2";16003;6438
"27";"IPANEMA";6533,14;4000;4855,56;2000;"Area de Planejamento 2";42743;18496
"28";"JARDIM BOTANICO";5810,82;3500;4408,18;2000;"Area de Planejamento 2";18009;7052
"29";"LAGOA";8286,46;6000;6160,04;3000;"Area de Planejamento 2";21198;8433
"30";"LEBLON";6844,63;4900;5044,58;2400;"Area de Planejamento 2";46044;19633
"31";"SAO CONRADO";6901,97;4000;5005,74;1500;"Area de Planejamento 2";10980;3855
"32";"VIDIGAL";995,93;600;646,57;510;"Area de Planejamento 2";12797;4311
"33";"ALTO DA BOA VISTA";2094,09;1000;1415,13;600;"Area de Planejamento 2";9343;3125
"34";"PRACA DA BANDEIRA";2561,04;1600;1964,71;1020;"Area de Planejamento 2";8662;3488
"35";"TIJUCA";3357,4;2000;2503,78;1200;"Area de Planejamento 2";163805;62544
"36";"ANDARAI";2505,37;1500;1845,37;999;"Area de Planejamento 2";39365;14710
"37";"GRAJAU";2987,24;2000;2185,16;1000;"Area de Planejamento 2";38671;14353
"38";"MARACANA";3452,86;2400;2618,28;1500;"Area de Planejamento 2";25256;9873
"39";"VILA ISABEL";2501,98;1500;1821,05;800;"Area de Planejamento 2";86018;31335
"40";"ROCINHA";747,42;600;488,11;510;"Area de Planejamento 2";69356;23404
"41";"BONSUCESSO";1435,43;1000;981,04;600;"Area de Planejamento 3";18711;6939
"42";"MANGUINHOS";699,31;510;424,26;510;"Area de Planejamento 3";36160;10628
"43";"OLARIA";1451,23;1000;983,18;600;"Area de Planejamento 3";57514;19827
"44";"RAMOS";1335,75;1000;918,81;600;"Area de Planejamento 3";40792;14128
"45";"BRAS DE PINA";1280,25;850;824,13;510;"Area de Planejamento 3";59222;19107
"46";"PENHA";1202,96;800;733,89;510;"Area de Planejamento 3";78678;24853
"47";"PENHA CIRCULAR";1395,59;1000;884,5;510;"Area de Planejamento 3";47816;15608
"48";"DEL CASTILHO";1294,18;900;866,05;510;"Area de Planejamento 3";15610;5190
"49";"ENGENHO DA RAINHA";1226,33;850;818,25;510;"Area de Planejamento 3";26659;8939
"50";"HIGIENOPOLIS";1547,44;1000;1100,06;700;"Area de Planejamento 3";15734;5427
"51";"INHAUMA";1073,94;800;686,66;510;"Area de Planejamento 3";45698;15046
"52";"MARIA DA GRACA";1782,66;1200;1250,12;800;"Area de Planejamento 3";7972;2823
"53";"TOMAS COELHO";1154,72;800;762,41;510;"Area de Planejamento 3";22676;7554
"54";"ABOLICAO";1661,28;1020;1181,48;700;"Area de Planejamento 3";11356;4099
